Manufacturer,Typecode,nd,vd,ne,ve,PgF,dPgF,PrecisionMolding
CDGM,H-F2,1.61293,37.0049,1.61685,36.7346,0.586712,0.0040,
CDGM,F2,1.61293,36.9865,1.61686,36.7246,0.581974,-0.0014,
CDGM,H-F3,1.61659,36.6521,1.62057,36.3810,0.587672,0.0044,
CDGM,F3,1.61659,36.6278,1.62058,36.3714,0.581383,-0.0026,
CDGM,H-F4,1.62005,36.3463,1.62409,36.0770,0.588546,0.0047,
CDGM,F4,1.62005,36.3572,1.62409,36.0954,0.583733,0.0000,
CDGM,H-F5,1.62435,35.9239,1.62846,35.6562,0.589199,0.0046,
CDGM,F5,1.62435,35.9389,1.62847,35.6840,0.582336,-0.0034,
CDGM,H-F6,1.62495,35.5856,1.62911,35.3205,0.589789,0.0047,
CDGM,F6,1.62495,35.5783,1.62912,35.3197,0.584774,-0.0011,
CDGM,F7,1.63636,35.3866,1.64063,35.1376,0.583837,-0.0033,
CDGM,H-F13,1.62588,35.6994,1.63003,35.4347,0.589498,0.0046,
CDGM,F13,1.62588,35.7141,1.63004,35.4583,0.584820,-0.0009,
CDGM,H-F51,1.63980,34.4650,1.64419,34.2030,0.592463,0.0054,
CDGM,H-F52,1.61385,34.6051,1.61804,34.3321,0.595058,0.0082,
CDGM,H-BaF2,1.56970,49.4532,1.57244,49.1582,0.561638,0.0002,
CDGM,H-BaF3,1.57957,53.7123,1.58214,53.4229,0.553135,-0.0010,
CDGM,H-BaF4,1.58267,46.5984,1.58564,46.3002,0.566891,0.0005,
CDGM,BaF4,1.58271,46.5065,1.58569,46.2079,0.567774,0.0007,
CDGM,H-BaF5,1.60562,43.8762,1.60890,43.5847,0.572294,0.0013,
CDGM,H-BaF6,1.60801,46.2030,1.61114,45.9033,0.568084,0.0010,
CDGM,H-BaF7,1.61413,39.9858,1.61777,39.7045,0.579163,0.0015,
CDGM,BaF7,1.61413,40.0262,1.61777,39.7458,0.576673,0.0001,
CDGM,H-BaF8,1.62604,39.0721,1.62984,38.7920,0.581141,0.0019,
CDGM,H-ZBaF1,1.62230,53.1715,1.62509,52.8793,0.554304,-0.0009,
CDGM,ZBaF2,1.63962,48.2310,1.64277,47.9416,0.561615,-0.0020,
CDGM,H-ZBaF3,1.65691,51.1220,1.65997,50.8242,0.558082,-0.0006,
CDGM,H-ZBaF4,1.66426,35.4847,1.66869,35.2171,0.589531,0.0042,
CDGM,H-ZBaF5,1.67103,47.2895,1.67440,46.9957,0.563144,-0.0020,
CDGM,H-ZBaF16,1.66672,48.4223,1.67000,48.1303,0.560757,-0.0026,
CDGM,ZBaF17,1.66755,41.9577,1.67133,41.6715,0.574187,-0.0014,
CDGM,H-ZBaF20,1.70154,41.1490,1.70558,40.8632,0.576064,0.0004,
CDGM,H-ZBaF21,1.72341,37.9920,1.72792,37.7126,0.583788,0.0028,
CDGM,H-ZBaF50,1.65844,50.8529,1.66152,50.5612,0.557836,-0.0013,
CDGM,ZBaF51,1.68273,44.5291,1.68637,44.2370,0.570801,0.0004,
CDGM,H-ZBaF52,1.67003,47.1956,1.67341,46.9027,0.563329,-0.0020,
CDGM,H-ZF1,1.64769,33.8407,1.65222,33.5839,0.592996,0.0049,
CDGM,H-ZF1A,1.64769,33.8884,1.65221,33.6287,0.593918,0.0058,
