Manufacturer,Typecode,nd,vd,ne,ve,PgF,dPgF,PrecisionMolding
Sumita,K-GFK70,1.56908,68.3000,1.57098,70.9281,0.545315,0.0167,1
Sumita,K-PBK40,1.51760,71.3000,1.51954,63.3500,0.533707,0.0207,1
Sumita,K-PBK50,1.52250,62.2177,1.52450,62.0196,0.535053,-0.0057,1
Sumita,K-PBK60,1.52740,62.2906,1.52942,62.1109,0.534120,-0.0065,1
Sumita,K-PMK30,1.52501,70.3310,1.52679,70.1265,0.531392,0.0038,1
Sumita,K-PMK155,1.55820,68.2275,1.56015,67.9947,0.533738,0.0028,1
Sumita,K-PSK100,1.59170,60.6212,1.59402,60.3196,0.545682,0.0024,1
Sumita,K-PSK200,1.61305,58.9839,1.61553,58.6802,0.547966,0.0020,1
Sumita,K-PSK300,1.59950,65.5741,1.60168,65.2692,0.541253,0.0060,1
Sumita,K-PSK400,1.59500,67.8434,1.59709,67.4922,0.543229,0.0116,1
Sumita,K-PSK500,1.55215,71.9924,1.55398,71.6306,0.541044,0.0162,1
Sumita,K-CSK120,1.58699,59.4795,1.58934,59.2429,0.540507,-0.0047,1
Sumita,K-CSK158,1.58400,56.8543,1.58645,56.5708,0.547268,-0.0022,1
Sumita,K-SKLD5,1.58913,61.2350,1.59143,61.0309,0.536307,-0.0060,1
Sumita,K-SKLD100,1.59110,60.7029,1.59343,60.4839,0.538468,-0.0047,1
Sumita,K-SKLD120,1.58680,59.7486,1.58914,59.5256,0.538449,-0.0063,1
Sumita,K-SKLD200,1.58660,59.0146,1.58897,58.7794,0.541530,-0.0044,1
Sumita,K-SKLD300,1.56420,60.4100,1.56643,60.1897,0.538522,-0.0051,1
Sumita,K-SKLD310,1.60420,48.8825,1.60714,48.6236,0.558189,-0.0042,1
Sumita,K-LaFK50,1.77200,49.9835,1.77567,49.7077,0.554770,-0.0058,1
Sumita,K-LaFK50T,1.76600,49.7994,1.76966,49.5266,0.554435,-0.0064,1
Sumita,K-LaFK55,1.69399,56.2878,1.69693,56.0385,0.545071,-0.0053,1
Sumita,K-LaFK58,1.69560,59.0524,1.69841,58.7881,0.543496,-0.0024,1
Sumita,K-LaFK60,1.63246,63.7673,1.63483,63.4756,0.542162,0.0040,1
Sumita,K-LaFK63,1.63860,63.4337,1.64100,63.1450,0.542682,0.0039,1
Sumita,K-LaFK65,1.65670,62.2809,1.65922,62.0090,0.542066,0.0014,1
Sumita,K-VC78,1.66955,55.4276,1.67243,55.1851,0.544442,-0.0073,1
Sumita,K-VC79,1.61035,57.9288,1.61286,57.6919,0.541285,-0.0064,1
Sumita,K-VC80,1.69384,53.1155,1.69695,52.8641,0.548468,-0.0070,1
Sumita,K-VC82,1.75550,45.5955,1.75944,45.3548,0.558760,-0.0089,1
Sumita,K-VC89,1.80998,40.9487,1.81468,40.7062,0.566452,-0.0088,1
Sumita,K-VC90,1.85280,38.9977,1.85799,38.7471,0.572984,-0.0054,1
Sumita,K-VC91,1.88660,34.9540,1.89262,34.7139,0.582394,-0.0026,1
Sumita,K-VC99,1.85060,41.6222,1.85546,41.3820,0.564551,-0.0096,1
Sumita,K-VC100,1.80400,43.6021,1.80838,43.3533,0.562831,-0.0081,1
Sumita,K-VC174,1.74850,45.2829,1.75244,45.0271,0.560317,-0.0079,1
Sumita,K-VC179,1.79890,41.8505,1.80343,41.5978,0.566986,-0.0068,1
Sumita,K-VC181,1.81055,41.1398,1.81523,40.8825,0.568948,-0.0060,1
Sumita,K-VC185,1.85375,40.5939,1.85875,40.3528,0.566986,-0.0088,1
Sumita,K-CD45,1.69320,33.7424,1.69806,33.4887,0.592366,0.0054,1
Sumita,K-CD120,1.72250,29.2370,1.72833,29.0088,0.604134,0.0099,1
Sumita,K-CD180,1.80645,24.4071,1.81423,24.2176,0.618260,0.0162,1
Sumita,K-CD300,1.69220,29.6374,1.69772,29.4105,0.601180,0.0076,1
Sumita,K-LCV93,1.66520,47.3122,1.66854,47.0559,0.557498,-0.0074,1
Sumita,K-LCV161,1.61820,45.3166,1.62144,45.0257,0.568976,0.0008,1
Sumita,K-ZnSF8,1.71430,38.8527,1.71866,38.6049,0.573989,-0.0046,1
Sumita,K-PSFn1,1.90682,21.1717,1.91688,21.0023,0.633331,0.0260,1
Sumita,K-PSFn2,2.00171,20.6561,2.01310,20.4898,0.634732,0.0266,1
Sumita,K-PSFn3,1.83918,23.8606,1.84746,23.6684,0.622377,0.0194,1
Sumita,K-PSFn166,1.66300,34.4231,1.66756,34.1657,0.591053,0.0052,1
Sumita,K-PSFn185,1.85070,26.9126,1.85815,26.6908,0.613119,0.0151,1
Sumita,K-PSFn190,1.90460,21.4936,1.91448,21.3213,0.632396,0.0256,1
Sumita,K-PSFn214P,2.14400,17.7555,2.15905,17.6021,0.659065,0.0462,1
Sumita,K-PG325,1.50670,70.5374,1.50841,70.2190,0.538913,0.0117,1
Sumita,K-PG375,1.54249,62.8974,1.54455,62.5970,0.543270,0.0037,1
Sumita,K-FK5,1.48749,70.4022,1.48914,70.2157,0.528944,0.0015,
Sumita,K-BK7,1.51633,64.0627,1.51825,63.8535,0.534803,-0.0029,
Sumita,K-BPG2,1.55919,53.9033,1.56166,53.6257,0.551687,-0.0025,
Sumita,K-PSKn2,1.61800,63.3907,1.62033,63.1088,0.542234,0.0034,
Sumita,K-SK4,1.61272,58.5559,1.61521,58.2796,0.544838,-0.0018,
Sumita,K-SK5,1.58913,61.2648,1.59142,61.0156,0.539895,-0.0024,
Sumita,K-SK7,1.60729,59.4665,1.60972,59.2009,0.543140,-0.0020,
Sumita,K-SK14,1.60311,60.6939,1.60548,60.4333,0.541932,-0.0013,
Sumita,K-SK15,1.62299,58.1511,1.62554,57.8783,0.544288,-0.0030,
Sumita,K-SK16RH,1.62041,60.2734,1.62286,60.0355,0.540181,-0.0037,
Sumita,K-SK18,1.63854,55.5015,1.64128,55.2209,0.549715,-0.0019,
Sumita,K-SK18RH,1.63854,55.4811,1.64128,55.1952,0.550064,-0.0016,
Sumita,K-SSK1,1.61720,54.0737,1.61992,53.8067,0.548831,-0.0051,
Sumita,K-SSK3,1.61484,51.1076,1.61770,50.8505,0.551354,-0.0074,
Sumita,K-SSK4,1.61765,55.0819,1.62032,54.8096,0.546517,-0.0058,
Sumita,K-SSK9,1.62012,49.8136,1.62308,49.5183,0.560323,-0.0005,
Sumita,K-BaF8,1.62373,47.0634,1.62688,46.7905,0.564227,-0.0011,
Sumita,K-BaF9,1.64328,47.7611,1.64648,47.4659,0.564932,0.0008,
Sumita,K-BaFn1,1.68251,44.4653,1.68615,44.1806,0.569096,-0.0004,
Sumita,K-BaFn3,1.66422,49.1893,1.66743,48.9081,0.559036,-0.0028,
Sumita,K-BaSF4,1.65129,38.3663,1.65532,38.1052,0.579217,-0.0002,
Sumita,K-BaSF5,1.60325,42.5797,1.60661,42.3056,0.572210,-0.0004,
Sumita,K-LaK6,1.64250,58.1063,1.64514,57.8360,0.545073,-0.0023,
Sumita,K-LaK7,1.65160,58.2691,1.65427,58.0043,0.543515,-0.0036,
Sumita,K-LaK8,1.71300,53.9037,1.71616,53.6683,0.546217,-0.0080,
Sumita,K-LaK9,1.69100,54.7609,1.69401,54.4964,0.547677,-0.0051,
Sumita,K-LaK10,1.72000,50.3038,1.72341,50.0340,0.553646,-0.0064,
Sumita,K-LaK11,1.65830,57.2857,1.66104,57.0208,0.545068,-0.0037,
Sumita,K-LaK12,1.67790,55.4804,1.68082,55.2099,0.547635,-0.0040,
Sumita,K-LaK14,1.69680,55.6577,1.69979,55.4198,0.543854,-0.0075,
Sumita,K-LaK18,1.72916,54.6594,1.73234,54.4385,0.543532,-0.0095,
Sumita,K-LaKn2,1.64050,60.1979,1.64304,59.9567,0.541066,-0.0029,
Sumita,K-LaKn7,1.66999,51.7212,1.67308,51.4426,0.553638,-0.0041,
Sumita,K-LaKn14,1.74100,52.6740,1.74435,52.4445,0.546056,-0.0102,
Sumita,K-LaF2,1.74400,44.8444,1.74795,44.5700,0.564899,-0.0040,
Sumita,K-LaFn3,1.70001,48.0109,1.70348,47.7237,0.560262,-0.0035,
Sumita,K-LaFn5,1.74300,49.2310,1.74659,48.9819,0.553399,-0.0084,
Sumita,K-LaFn11,1.72014,46.0214,1.72386,45.7423,0.563696,-0.0033,
Sumita,K-LaSKn1,1.75500,52.3605,1.75844,52.1277,0.547376,-0.0093,
Sumita,K-LaSFn1,1.80611,40.7339,1.81081,40.4954,0.567055,-0.0085,
Sumita,K-LaSFn2,1.80501,39.5934,1.80983,39.3494,0.571301,-0.0061,
Sumita,K-LaSFn3,1.79950,42.2955,1.80399,42.0356,0.567235,-0.0058,
Sumita,K-LaSFn4,1.78499,43.6548,1.78927,43.4015,0.563319,-0.0075,
Sumita,K-LaSFn6,1.80401,46.5955,1.80811,46.3524,0.556533,-0.0095,
Sumita,K-LaSFn7,1.77249,49.5902,1.77620,49.3447,0.552528,-0.0087,
Sumita,K-LaSFn8,1.83500,42.7424,1.83965,42.4977,0.563663,-0.0087,
Sumita,K-LaSFn8W,1.83490,42.6889,1.83955,42.4437,0.563491,-0.0089,
Sumita,K-LaSFn9,1.81600,46.6695,1.82017,46.4200,0.556491,-0.0095,
Sumita,K-LaSFn10,1.81549,44.4046,1.81986,44.1650,0.559502,-0.0101,
Sumita,K-LaSFn14,1.83399,37.3608,1.83929,37.1003,0.579695,-0.0014,
Sumita,K-LaSFn16,1.78830,47.4166,1.79226,47.1716,0.554851,-0.0099,
Sumita,K-LaSFn17,1.88299,40.7857,1.88814,40.5386,0.566419,-0.0091,
Sumita,K-LaSFn21,1.85002,32.5068,1.85620,32.2627,0.598627,0.0097,
Sumita,K-LaSFn22,1.89800,34.0026,1.90425,33.7618,0.587049,0.0005,
Sumita,K-LaSFn23,1.91100,35.2195,1.91713,34.9719,0.583617,-0.0009,
Sumita,K-SFLD1,1.71736,29.5035,1.72310,29.2771,0.602817,0.0090,
Sumita,K-SFLD4,1.75520,27.4974,1.76167,27.2737,0.611653,0.0146,
Sumita,K-SFLD6,1.80519,25.4053,1.81265,25.2013,0.615697,0.0152,
Sumita,K-SFLD8,1.68893,31.1218,1.69416,30.8834,0.598635,0.0075,
Sumita,K-SFLD8W,1.68910,31.1696,1.69432,30.9312,0.598616,0.0075,
Sumita,K-SFLD11,1.78473,25.9120,1.79187,25.7031,0.615105,0.0155,
Sumita,K-SFLD14,1.76182,26.5129,1.76859,26.2969,0.614266,0.0156,
Sumita,K-SFLDn3,1.84670,23.8324,1.85506,23.6455,0.619901,0.0169,
Sumita,K-SFLDn3W,1.84670,23.8367,1.85506,23.6464,0.620600,0.0176,
Sumita,K-BOC30,2.00680,26.1870,2.01587,25.9822,0.610356,0.0112,
Sumita,K-GIR79,1.85920,33.0251,1.86536,32.7833,0.587141,-0.0010,
Sumita,K-GIR140,1.75106,43.0798,1.75521,42.7820,0.568345,-0.0034,
Sumita,K-FIR98UV,1.42537,97.7529,1.42641,97.2748,0.534353,0.0513,1
Sumita,K-FIR100UV,1.41390,100.8250,1.41488,100.3405,0.533745,0.0557,1
Apel,APL5014CL,1.54450,55.9877,1.54682,55.5674,0.560985,0.0102,1
Apel,APL5015AL,1.54451,56.0040,1.54683,55.5811,0.560814,0.0100,1
Apel,APL5514ML,1.54492,55.9306,1.54724,55.4865,0.561949,0.0110,1
Apel,APL5014GH,1.54492,55.9306,1.54724,55.4865,0.561949,0.0110,1
Osaka GC,OKP4HT              ,1.63280,23.3302,1.63916,23.0804,0.647330,0.0435,1
Osaka GC,OKP-A2              ,1.66059,20.4015,1.66815,20.1759,0.665308,0.0567,1
Osaka GC,OKP4HT-L            ,1.63270,23.2555,1.63908,23.0031,0.642366,0.0384,1
Osaka GC,OKP-A1              ,1.64975,21.4512,1.65688,21.1937,0.651307,0.0444,1
Osaka GC,OKP4                ,1.60792,26.9045,1.61323,26.6120,0.626701,0.0287,1
Osaka GC,OKP-1               ,1.64220,22.4091,1.64893,22.1713,0.647398,0.0421,1
Topas,5013LS-01,1.53320,56.1512,1.53540,55.6171,0.547585,-0.0030,1
Topas,5013X16,1.53310,56.1422,1.53520,55.4312,0.547732,-0.0028,1
Topas,6015S-04,1.53300,54.9762,1.53500,54.4658,0.526338,-0.0261,1
Zeon,Zeonex 330R,1.50940,56.4752,1.51155,56.0461,0.560741,0.0107,1
Zeon,Zeonex 350R,1.50919,56.3180,1.51134,55.9028,0.557859,0.0076,1
Zeon,Zeonex 480R,1.52512,56.2822,1.52734,55.8427,0.562152,0.0118,1
Zeon,Zeonex E48R,1.53113,55.7545,1.53340,55.3272,0.562719,0.0115,1
Zeon,Zeonex F52R,1.53461,56.0728,1.53688,55.6406,0.563985,0.0133,1
Zeon,Zeonex K22R,1.53504,55.7114,1.53732,55.2653,0.562211,0.0109,1
Zeon,Zeonex K26R,1.53504,55.7114,1.53732,55.2653,0.562211,0.0109,1
Zeon,Zeonex T26R,1.53650,55.9814,1.53878,55.5462,0.562078,0.0112,1
Reference,Silica,1.45846,67.8214,1.46018,67.6866,0.527729,-0.0004,
Reference,CaF2,1.43385,95.0000,1.43493,94.7200,0.540659,0.0553,
