Manufacturer,Typecode,nd,vd,"P_g,F","d_Pg,F"
Ohara,S-TIM25,1.6727,32.1,0.5988,0.0093
Hoya,E-FD5,1.6727,32.17,0.596365,0.0059
Hikari,J-SF5,1.6727,32.19,0.5973,0.0069
Hikari,J-BAF10,1.67,47.14,0.5626,-0.0027
Hoya,BaF10,1.67,47.2,0.564085,0.0008
Ohara,S-BAH10,1.67,47.3,0.5627,-0.0024
Hikari,J-LAK02,1.67,57.35,0.5428,-0.0053
Hikari,J-BASF6,1.6676,41.87,0.5751,0.001
Hoya,BaF11,1.6667,48.3,0.563768,0.0021
Hikari,J-BAF11,1.6667,48.33,0.5603,-0.0029
Ohara,S-BAH11,1.6667,48.3,0.5609,-0.0024
Hikari,J-BASF2,1.6645,35.87,0.589,0.0048
Hikari,J-SFH4,1.6638,27.35,0.6319,0.0334
Ohara,S-BSM25,1.6584,50.9,0.556,-0.0031
Hikari,J-SSK5,1.6584,50.84,0.5578,-0.0013
Hoya,BaCED5,1.6584,50.86,0.557529,0.0008
Hoya,E-ADF50,1.6541,39.62,0.574545,-0.0033
Ohara,S-NBH5,1.6541,39.7,0.5737,-0.0036
Hoya,LaC7,1.6516,58.4,0.53991,-0.0035
Hikari,J-LAK7,1.6516,58.57,0.5416,-0.0045
Hikari,J-LAK7R,1.6516,58.62,0.5409,-0.0051
Ohara,S-LAL7,1.6516,58.5,0.5425,-0.0042
Ohara,S-LAL54Q,1.651,56.2,0.542,-0.0085
Hikari,J-LAK04,1.651,56.24,0.5453,-0.0047
Ohara,S-LAL54,1.651,56.2,0.5482,-0.0024
Hoya,E-BaCED20,1.6485,53.03,0.551922,-0.0008
Ohara,S-BSM71,1.6485,53,0.5547,-0.001
Hikari,J-SF2,1.6477,33.73,0.5931,0.0053
Hoya,E-FD2,1.6477,33.84,0.592476,0.0049
Ohara,S-TIM22,1.6477,33.8,0.5938,0.007
Hikari,J-LAK01,1.64,60.2,0.5377,-0.0056
Hoya,LaCL60,1.64,60.2,0.536218,-0.0039
Ohara,S-BSM81,1.64,60.1,0.537,-0.0073
Hikari,J-SF7,1.6398,34.55,0.5915,0.0051
Hoya,E-FD7,1.6398,34.57,0.591572,0.0056
